kind,date,ticker,entry1,entry2,target1,target2,sl,strike,premium,opt_type,dte,moneyness_pct,status,fill_px,days_to_resolve,ret_pct,mtm_pct
stock,2023-12-20,CVNA,61.3,56.0,74.0,83.0,54.0,,,,,,LOSS,11.82,0,-6.2,480.3
stock,2023-12-20,GMS,83.5,76.0,92.0,98.0,73.0,,,,,,UNVERIFIABLE,,,,
stock,2023-12-21,SXI,152.5,146.0,166.0,172.0,142.0,,,,,,LOSS,152.5,9,-7.2,115.0
stock,2023-12-21,CHWY,24.1,19.9,29.0,31.5,18.0,,,,,,LOSS,24.02,26,-25.8,-13.2
stock,2023-12-22,GNE,29.9,25.9,34.0,38.0,24.0,,,,,,LOSS,29.13,11,-18.6,-49.8
stock,2023-12-26,FDX,252.1,242.0,268.0,274.0,238.0,,,,,,LOSS,201.45,0,0.8,55.4
stock,2023-12-26,BIRK,47.25,44.0,54.0,58.0,42.0,,,,,,WIN,46.5,39,16.1,-1.1
stock,2023-12-27,DRCT,14.1,11.6,19.0,21.0,11.0,,,,,,NEVER_FILLED,,,,
stock,2023-12-28,AAL,14.0,13.4,15.0,16.5,13.0,,,,,,LOSS,13.92,3,-7.0,28.7
stock,2023-12-28,MTCH,36.5,34.0,40.0,44.0,32.0,,,,,,WIN,35.81,7,11.7,5.8
stock,2024-01-02,AMC,6.2,5.65,8.3,,5.4,,,,,,LOSS,6.09,2,-13.0,-69.0
stock,2024-01-04,PLTR,16.5,15.0,19.0,,13.0,,,,,,WIN,16.05,22,18.4,705.6
stock,2024-01-05,TQQQ,46.0,44.0,52.0,55.0,42.0,,,,,,LOSS,22.93,0,0.3,219.9
stock,2024-01-08,JBL,128.5,122.0,141.0,147.0,118.0,,,,,,WIN,127.41,24,10.7,167.9
stock,2024-01-10,MARA,26.75,22.0,34.0,38.0,20.0,,,,,,LOSS,24.79,2,-23.4,-50.0
stock,2024-01-23,UP,3.95,3.0,5.8,6.8,2.8,,,,,,UNVERIFIABLE,,,,
stock,2024-01-26,MRK,120.8,116.0,129.0,,114.0,,,,,,WIN,120.51,16,7.0,7.5
stock,2024-01-26,T,17.25,16.0,19.5,,14.8,,,,,,WIN,17.15,124,13.7,20.0
stock,2024-01-29,MARA,18.5,14.9,26.0,32.0,14.0,,,,,,WIN,17.96,10,44.8,-31.0
stock,2024-01-29,SYM,43.0,37.0,51.0,64.0,35.0,,,,,,WIN,41.15,5,23.9,3.9
stock,2024-01-30,MUR,39.4,35.9,44.0,47.0,35.0,,,,,,WIN,38.48,34,14.3,-17.2
stock,2024-02-02,AMD,178.1,164.0,192.0,200.0,161.0,,,,,,WIN,173.79,18,10.5,198.0
stock,2024-02-02,PLTR,16.5,15.0,19.0,21.0,13.0,,,,,,WIN,16.34,2,16.3,691.3
stock,2024-02-05,MCHP,85.8,81.0,92.0,97.0,79.0,,,,,,WIN,85.07,22,8.1,-0.5
stock,2024-02-09,ZI,15.5,14.0,19.0,,13.2,,,,,,UNVERIFIABLE,,,,
stock,2024-02-12,CGNX,37.2,33.8,44.0,47.0,32.0,,,,,,WIN,36.52,56,20.5,85.7
stock,2024-02-13,TRMB,56.0,51.0,66.0,,49.0,,,,,,WIN,54.75,185,20.5,-3.1
stock,2024-02-14,PLUS,77.5,65.0,100.0,,62.0,,,,,,WIN,74.98,150,33.4,7.8
stock,2024-02-16,AMZN,169.0,158.0,185.0,199.0,154.0,,,,,,WIN,168.74,32,9.6,43.8
stock,2024-02-16,FIS,63.9,61.0,70.0,74.0,58.0,,,,,,WIN,63.39,11,10.4,-34.1
