kind,date,ticker,entry1,entry2,target1,target2,sl,strike,premium,opt_type,dte,moneyness_pct,status,fill_px,days_to_resolve,ret_pct,mtm_pct
stock,2025-05-09,TEAM,206.0,195.0,244.0,,190.0,,,,,,LOSS,206.0,28,-8.0,-59.3
stock,2025-05-16,LLY,751.0,690.0,880.0,,680.0,,,,,,LOSS,740.0,56,-13.4,64.0
stock,2025-05-16,UNH,288.0,240.0,420.0,,220.0,,,,,,WIN,279.29,278,50.4,52.3
stock,2025-06-03,MSTR,386.0,350.0,480.0,,330.0,,,,,,LOSS,379.4,64,-13.7,-73.4
stock,2025-06-04,BULL,11.15,10.2,13.0,15.0,9.8,,,,,,UNVERIFIABLE,,,,
stock,2025-06-09,ODC,57.0,48.0,75.0,,46.0,,,,,,WIN,55.46,221,35.2,80.9
stock,2025-06-11,ACHR,11.63,9.8,14.0,18.8,9.4,,,,,,LOSS,11.63,47,-20.1,-57.2
stock,2025-06-16,LGCY,9.75,8.6,13.0,,8.2,,,,,,WIN,9.21,50,41.2,26.9
stock,2025-06-30,MA,559.0,525.0,600.0,630.0,515.0,,,,,,WIN,552.5,38,8.6,-2.4
stock,2025-06-30,DOCU,77.5,62.0,100.0,120.0,58.0,,,,,,LOSS,77.05,139,-26.4,-40.6
stock,2025-07-07,HSBC,61.27,58.0,70.0,,56.0,,,,,,WIN,61.16,54,14.5,58.2
stock,2025-07-07,DASH,243.9,225.0,280.0,320.0,221.0,,,,,,WIN,239.34,64,17.0,-19.8
stock,2025-07-17,IVZ,17.17,15.3,22.0,,14.9,,,,,,WIN,16.85,29,30.6,60.3
stock,2025-07-21,ZETA,16.0,14.0,22.0,,13.0,,,,,,WIN,16.0,44,37.5,29.4
stock,2025-07-21,BLOK,62.57,55.0,78.0,88.0,53.0,,,,,,LOSS,61.89,138,-18.9,-0.5
stock,2025-07-21,WELL,160.7,152.0,175.0,195.0,148.0,,,,,,WIN,158.8,48,10.2,48.7
stock,2025-07-23,ROBT,50.75,47.0,66.0,,45.0,,,,,,LOSS,50.57,171,-11.6,11.2
stock,2025-07-23,IYR,97.0,88.0,120.0,,86.0,,,,,,OPEN,97.0,,7.2,7.2
stock,2025-07-24,CSL,428.0,400.0,500.0,,390.0,,,,,,LOSS,425.08,5,-16.6,-13.7
stock,2025-07-31,MO,61.85,54.0,75.0,,52.0,,,,,,OPEN,61.21,,18.8,18.8
stock,2025-08-01,TQQQ,83.15,81.0,88.0,,80.0,,,,,,LOSS,42.62,0,-2.7,72.1
stock,2025-08-05,PHO,70.9,66.0,88.0,,64.0,,,,,,OPEN,70.73,,-1.5,-1.5
stock,2025-08-05,QQQ,562.6,557.0,575.0,,555.0,,,,,,WIN,562.6,4,2.2,26.7
stock,2025-08-06,PGR,245.0,220.0,300.0,345.0,210.0,,,,,,LOSS,244.5,59,-14.9,-5.0
stock,2025-08-07,INCY,77.3,70.0,100.0,,66.0,,,,,,WIN,77.3,61,29.4,51.2
stock,2025-08-11,PFE,24.77,23.0,30.0,33.0,22.0,,,,,,OPEN,24.6,,-1.1,-1.1
stock,2025-08-11,TQQQ,92.7,88.0,100.0,,86.0,,,,,,LOSS,46.12,0,-1.0,59.1
stock,2025-08-12,IAI,176.5,165.0,210.0,,162.0,,,,,,LOSS,176.25,146,-8.4,4.6
stock,2025-08-21,MRK,87.0,77.0,110.0,,75.0,,,,,,WIN,84.88,94,29.6,52.6
stock,2025-08-22,WFC,78.3,75.0,84.0,,73.0,,,,,,WIN,78.3,19,7.3,9.2
stock,2025-08-22,LYB,58.2,52.0,78.0,,50.0,,,,,,LOSS,55.8,23,-12.2,-4.4
stock,2025-08-26,CPSH,3.55,,5.0,,3.0,,,,,,WIN,3.55,98,40.8,42.3
stock,2025-08-26,PLTR,161.0,150.0,200.0,,146.0,,,,,,WIN,155.39,47,28.7,-16.8
stock,2025-08-28,ORCL,240.0,225.0,300.0,,220.0,,,,,,WIN,235.54,8,27.4,-40.4
stock,2025-09-02,VDE,126.8,119.0,150.0,,117.0,,,,,,WIN,126.42,109,18.7,19.0
stock,2025-09-03,RIOT,14.3,11.0,24.0,,10.0,,,,,,WIN,14.24,170,68.5,55.3
stock,2025-09-03,SPY,643.0,636.0,652.0,,634.0,,,,,,WIN,642.67,2,1.5,15.9
stock,2025-09-04,DELL,126.1,115.0,150.0,,112.0,,,,,,WIN,124.03,20,20.9,217.9
stock,2025-09-04,TXN,188.0,178.0,220.0,,174.0,,,,,,LOSS,183.76,26,-6.6,59.5
stock,2025-09-05,CRM,249.7,235.0,280.0,,228.0,,,,,,LOSS,244.83,53,-6.9,-32.2
stock,2025-09-05,HOOD,99.7,92.0,120.0,135.0,88.0,,,,,,WIN,99.7,3,20.4,13.1
stock,2025-09-09,KWEB,40.1,,55.0,,36.0,,,,,,LOSS,39.54,70,-9.3,-36.8
stock,2025-09-11,GNRC,183.5,172.0,225.0,,168.0,,,,,,LOSS,183.5,5,-9.1,37.7
stock,2025-09-12,BIIB,149.4,130.0,220.0,,124.0,,,,,,OPEN,148.08,,45.9,45.9
stock,2025-09-16,CENX,25.9,23.0,33.0,38.0,21.0,,,,,,WIN,25.9,19,27.4,69.0
stock,2025-09-19,ROOT,102.5,92.0,130.0,,88.0,,,,,,LOSS,100.97,10,-14.1,-38.9
stock,2025-09-22,MYRG,188.0,165.0,220.0,240.0,160.0,,,,,,WIN,178.16,24,23.5,143.0
stock,2025-09-26,ETHA,30.4,25.0,40.0,,23.0,,,,,,LOSS,29.63,36,-23.4,-56.6
stock,2025-09-26,AMZN,220.0,205.0,250.0,,200.0,,,,,,WIN,219.08,25,14.1,10.8
stock,2025-09-29,DDOG,141.55,124.0,160.0,180.0,119.0,,,,,,WIN,140.17,7,14.1,85.7
stock,2025-09-29,AVAV,316.0,270.0,420.0,,260.0,,,,,,LOSS,310.42,44,-17.0,-38.5
stock,2025-09-30,NBIS,112.5,96.0,140.0,170.0,92.0,,,,,,WIN,112.5,8,24.4,91.7
stock,2025-10-10,U,39.6,35.0,55.0,,33.0,,,,,,LOSS,39.16,76,-25.7,-25.1
stock,2025-10-10,TQQQ,102.5,94.0,122.0,,92.0,,,,,,LOSS,54.37,0,-10.7,34.9
stock,2025-10-15,LGCY,9.8,9.0,14.0,18.0,8.7,,,,,,LOSS,9.47,14,-8.6,23.4
stock,2025-10-15,AHR,42.4,40.0,54.0,,38.0,,,,,,WIN,41.49,92,30.2,32.7
stock,2025-10-16,STX,230.0,195.0,300.0,,185.0,,,,,,WIN,224.15,38,33.8,265.9
stock,2025-10-23,IONQ,61.0,50.0,85.0,,48.0,,,,,,LOSS,61.0,15,-25.6,-19.5
stock,2025-10-23,SCCO,129.8,122.0,148.0,,123.0,,,,,,LOSS,127.66,18,-4.5,34.7
stock,2025-10-30,EQIX,841.0,780.0,1000.0,,760.0,,,,,,LOSS,801.39,15,-6.1,25.0
stock,2025-10-30,GFS,36.85,30.0,55.0,,28.0,,,,,,WIN,34.61,116,58.9,101.8
stock,2025-11-05,MSFT,511.0,485.0,600.0,,475.0,,,,,,LOSS,511.0,12,-7.6,-23.6
stock,2025-11-07,RTX,177.0,155.0,210.0,,150.0,,,,,,WIN,175.26,76,19.8,13.7
stock,2025-11-10,MP,64.0,50.0,120.0,,45.0,,,,,,OPEN,61.55,,-13.4,-13.4
stock,2025-11-10,XPEV,25.5,21.0,35.0,40.0,20.0,,,,,,LOSS,23.72,15,-17.1,-44.9
stock,2025-11-11,SCHW,96.6,90.0,120.0,,88.0,,,,,,LOSS,95.0,123,-7.5,2.1
stock,2025-11-18,NVDA,183.0,,215.0,,173.0,,,,,,LOSS,183.0,20,-6.6,6.5
stock,2025-11-19,BOTZ,34.0,30.0,44.0,,28.0,,,,,,OPEN,33.81,,10.6,10.6
stock,2025-11-20,QCOM,168.4,155.0,200.0,,152.0,,,,,,LOSS,167.13,47,-9.3,5.5
stock,2025-11-21,SIL,65.0,60.0,82.0,,58.0,,,,,,WIN,64.64,13,26.9,24.1
stock,2025-11-26,AMD,213.4,190.0,270.0,,185.0,,,,,,WIN,210.05,95,28.5,146.5
stock,2025-11-26,ALAB,153.0,130.0,200.0,,125.0,,,,,,LOSS,145.61,54,-15.1,179.1
stock,2025-12-01,NFLX,108.3,98.0,130.0,,94.0,,,,,,LOSS,106.51,7,-13.0,-27.1
stock,2025-12-01,MDB,332.0,310.0,400.0,,305.0,,,,,,WIN,326.43,1,22.5,8.7
stock,2025-12-03,CAT,581.0,540.0,700.0,,530.0,,,,,,WIN,581.0,41,20.5,65.8
stock,2025-12-04,NTLA,9.7,8.0,14.0,,7.8,,,,,,WIN,8.91,31,57.1,97.1
stock,2025-12-11,EOSE,15.5,12.0,22.0,28.0,11.0,,,,,,LOSS,14.56,42,-25.9,-64.1
stock,2025-12-30,INTC,37.8,34.0,55.0,,32.0,,,,,,WIN,36.91,67,49.0,226.1
stock,2026-01-02,SERV,10.9,9.9,16.0,,9.6,,,,,,WIN,10.81,4,48.0,-41.6
stock,2026-01-08,AFRM,81.7,74.0,110.0,,72.0,,,,,,LOSS,81.7,5,-12.1,3.5
stock,2026-01-09,RKT,22.3,20.0,33.0,,18.0,,,,,,LOSS,22.08,14,-18.8,-28.6
stock,2026-01-14,STCE,73.9,66.0,100.0,,64.0,,,,,,LOSS,73.21,12,-13.3,-9.9
stock,2026-01-14,AEP,118.2,112.0,134.0,,110.0,,,,,,WIN,116.99,30,14.5,18.4
stock,2026-01-22,GLTR,249.0,225.0,330.0,,220.0,,,,,,LOSS,245.52,39,-12.6,-24.1
stock,2026-01-23,MSFT,455.55,445.0,465.0,480.0,440.0,,,,,,WIN,451.87,0,2.9,-13.6
stock,2026-01-23,SCCO,179.7,170.0,210.0,,165.0,,,,,,WIN,175.73,4,19.5,-2.1
stock,2026-01-27,HACK,80.85,77.0,90.0,98.0,75.0,,,,,,LOSS,80.85,6,-7.9,32.3
stock,2026-01-27,TTWO,247.5,240.0,280.0,300.0,238.0,,,,,,LOSS,246.05,3,-10.5,3.6
stock,2026-01-27,FLNC,29.5,,60.0,,24.0,,,,,,LOSS,27.13,7,-30.2,-37.3
stock,2026-01-28,OCS,28.7,25.0,60.0,,23.0,,,,,,UNVERIFIABLE,,,,
stock,2026-01-29,TQQQ,53.5,48.0,66.0,,46.0,,,,,,LOSS,53.5,30,-14.1,37.1
stock,2026-02-09,BH,407.0,370.0,500.0,,360.0,,,,,,LOSS,407.0,14,-17.3,3.4
stock,2026-02-10,ARKG,29.55,27.0,44.0,,25.0,,,,,,LOSS,29.28,33,-15.2,46.6
stock,2026-02-13,ETHT,15.5,13.0,22.0,,12.5,,,,,,LOSS,14.48,74,-19.5,-40.3
stock,2026-02-13,COHR,222.0,204.0,300.0,,198.0,,,,,,WIN,222.0,12,35.1,50.2
stock,2026-02-23,AAPL,268.0,,300.0,,252.0,,,,,,LOSS,263.49,14,-5.1,17.1
stock,2026-03-03,IAU,95.9,90.0,105.0,,88.0,,,,,,LOSS,95.9,12,-8.9,-19.2
stock,2026-03-03,SPX,6800.0,,6880.0,,6770.0,,,,,,UNVERIFIABLE,,,,
stock,2026-03-04,ARKK,74.85,,90.0,,67.0,,,,,,LOSS,73.42,17,-12.0,10.7
stock,2026-03-04,AMAT,358.0,,450.0,,329.0,,,,,,LOSS,358.0,2,-9.3,68.4
stock,2026-03-10,TSM,348.0,325.0,400.0,450.0,318.0,,,,,,LOSS,348.0,14,-9.1,24.8
stock,2026-03-11,QQQ,611.0,607.0,616.0,622.0,605.0,,,,,,LOSS,608.95,1,-1.9,17.0
stock,2026-03-11,UNG,12.85,11.5,18.0,,11.0,,,,,,LOSS,12.55,20,-13.3,-7.7
stock,2026-03-11,CORZ,16.4,14.0,22.0,,13.5,,,,,,WIN,15.91,38,38.3,34.7
stock,2026-03-12,SKYY,112.2,104.0,126.0,,102.0,,,,,,WIN,112.2,36,12.3,20.2
stock,2026-03-13,SQQQ,73.7,68.0,82.0,,66.0,,,,,,WIN,73.47,9,11.6,-45.6
stock,2026-03-20,FCFS,192.0,,230.0,,175.0,,,,,,WIN,190.09,33,21.0,16.8
stock,2026-03-23,SILVER,68.1,62.0,84.0,,56.0,,,,,,UNVERIFIABLE,,,,
stock,2026-03-31,PANW,158.0,,180.0,,140.0,,,,,,WIN,155.03,15,16.1,124.5
stock,2026-04-06,JPM,296.0,,322.0,,282.0,,,,,,WIN,294.06,49,9.5,13.7
stock,2026-04-09,VIAV,41.89,35.0,66.0,85.0,33.0,,,,,,OPEN,41.87,,-0.5,-0.5
stock,2026-04-27,LMT,522.0,510.0,600.0,,490.0,,,,,,OPEN,514.05,,6.2,6.2
stock,2026-05-05,SWKS,71.0,,88.0,,62.0,,,,,,OPEN,68.94,,-9.3,-9.3
stock,2026-05-08,MSFT,416.0,,440.0,480.0,396.0,,,,,,WIN,416.0,14,5.8,-6.1
stock,2026-05-14,WALMART,131.85,126.0,149.0,,124.0,,,,,,UNVERIFIABLE,,,,
stock,2026-05-18,ASTS,84.5,72.0,110.0,140.0,68.0,,,,,,WIN,84.5,5,30.2,0.7
stock,2026-05-19,SNDK,1290.0,,2000.0,,1240.0,,,,,,WIN,1289.75,17,55.1,35.3
stock,2026-05-20,IREN,51.5,42.0,86.0,100.0,39.0,,,,,,LOSS,49.12,29,-21.0,-21.0
stock,2026-05-26,NVTS,31.0,24.0,45.0,,22.0,,,,,,LOSS,31.0,11,-33.9,-53.4
stock,2026-05-26,UFO,65.0,54.0,89.0,105.0,50.0,,,,,,LOSS,65.0,18,-25.0,-22.0
stock,2026-06-02,DE,545.0,528.0,620.0,,522.0,,,,,,NEVER_FILLED,,,,
stock,2026-06-03,COST,965.0,,1120.0,,920.0,,,,,,OPEN,952.88,,-0.1,-0.1
stock,2026-06-04,RTX,179.0,168.0,200.0,,165.0,,,,,,OPEN,176.54,,12.9,12.9
stock,2026-06-12,ARM,371.0,,500.0,,300.0,,,,,,OPEN,353.12,,-10.7,-10.7
stock,2026-06-15,PG,150.9,145.0,170.0,,142.0,,,,,,OPEN,148.76,,1.8,1.8
stock,2026-06-24,NBIX,167.8,,210.0,,156.0,,,,,,OPEN,163.43,,6.6,6.6
stock,2026-06-24,LRCX,375.0,,460.0,,340.0,,,,,,OPEN,366.87,,-4.2,-4.2
stock,2026-06-24,CIEN,476.0,,640.0,,410.0,,,,,,OPEN,449.36,,-6.0,-6.0
stock,2026-06-26,SPCX,154.8,,200.0,,135.0,,,,,,OPEN,150.62,,7.6,7.6
stock,2026-06-29,CNP,44.9,,60.0,,39.0,,,,,,OPEN,44.82,,-0.5,-0.5
stock,2026-06-29,TEM,56.75,,90.0,,46.0,,,,,,OPEN,56.75,,6.2,6.2
stock,2026-06-30,WDC,640.0,,1000.0,,535.0,,,,,,OPEN,632.44,,-14.8,-14.8
option,2023-06-20,IWM,,,3.0,,0.4,184.0,1.29,call,1,-0.6,AMBIGUOUS,,,,
option,2023-06-20,AEP,,,5.0,,0.7,85.0,2.1,call,31,0.5,AMBIGUOUS,,,,
option,2023-06-21,TQQQ,,,2.0,,0.25,39.0,1.0,call,2,100.8,EXPIRED_WORTHLESS,,,,
option,2023-06-22,QQQ,,,8.0,,1.2,360.0,4.43,call,1,-1.7,AMBIGUOUS,,,,
option,2023-06-26,IWM,,,4.0,,0.55,180.0,2.08,call,2,-0.4,TARGET_REACHABLE,,,,
option,2023-06-27,DIA,,,6.0,,0.9,335.0,3.0,call,3,-1.2,TARGET_REACHABLE,,,,
option,2023-06-28,QQQ,,,8.0,,1.1,360.0,5.04,call,2,-1.2,TARGET_REACHABLE,,,,
option,2023-06-28,TQQQ,,,4.0,,0.6,38.0,2.08,call,2,92.4,EXPIRED_WORTHLESS,,,,
option,2023-06-28,SYM,,,8.0,,0.9,40.0,3.8,call,23,-4.4,TARGET_REACHABLE,,,,
option,2023-06-28,OMER,,,,,,5.0,0.8,call,23,-12.4,AMBIGUOUS,,,,
option,2023-06-29,IWM,,,7.0,,0.8,184.0,3.3,call,4,-1.3,AMBIGUOUS,,,,
option,2023-07-05,TQQQ,,,5.0,,0.5,39.0,2.75,call,2,89.1,EXPIRED_WORTHLESS,,,,
option,2023-07-05,DIA,,,7.0,,,340.0,3.7,call,2,-0.8,LIKELY_LOSS,,,,
option,2023-07-05,CRM,,,15.0,,1.1,210.0,8.0,call,23,-1.8,TARGET_REACHABLE,,,,
option,2023-07-07,SPY,,,2.0,,,444.0,0.39,call,4,1.2,EXPIRED_WORTHLESS,,,,
option,2023-07-07,WAB,,,4.9,,0.4,115.0,1.27,call,42,4.9,PROFIT_LIKELY,,,,
option,2023-07-07,VRRM,,,2.0,,,20.0,0.71,call,42,1.1,PROFIT_LIKELY,,,,
option,2023-07-10,MU,,,8.0,,0.9,60.0,3.98,call,25,-4.0,TARGET_REACHABLE,,,,
option,2023-07-13,BLNK,,,1.0,,,8.0,0.3,call,29,17.1,EXPIRED_WORTHLESS,,,,
option,2023-07-13,PLUG,,,3.0,,,15.0,0.5,call,29,21.4,EXPIRED_WORTHLESS,,,,
option,2023-07-14,QQQ,,,2.0,,,385.0,0.6,call,3,1.6,EXPIRED_WORTHLESS,,,,
option,2023-07-17,SPY,,,1.25,,,454.0,0.25,call,2,0.7,TARGET_REACHABLE,,,,
option,2023-07-18,QQQ,,,3.0,,0.3,386.0,1.0,call,2,0.1,LIKELY_LOSS,,,,
option,2023-07-18,UNG,,,1.0,,,7.0,0.24,call,10,-75.0,TARGET_REACHABLE,,,,
option,2023-07-19,IWM,,,1.0,,,200.0,0.3,call,2,1.6,EXPIRED_WORTHLESS,,,,
option,2023-07-20,SPY,,,2.0,,,458.0,0.5,call,4,1.3,EXPIRED_WORTHLESS,,,,
option,2023-08-14,CNC,,,4.0,,0.69,67.5,1.8,call,32,1.0,AMBIGUOUS,,,,
option,2023-08-23,GLD,,,6.0,,0.8,178.0,2.85,call,30,0.1,AMBIGUOUS,,,,
option,2023-08-28,UNG,,,3.0,,,6.0,1.15,call,18,-78.1,TARGET_REACHABLE,,,,
option,2023-09-06,DIA,,,5.0,,0.9,345.0,2.5,call,9,0.0,TARGET_REACHABLE,,,,
option,2023-09-07,UCO,,,,,0.45,35.0,1.75,put,15,-1.9,EXPIRED_WORTHLESS,,,,
option,2023-09-12,QQQ,,,4.0,,0.5,376.0,1.6,call,2,0.9,AMBIGUOUS,,,,
option,2023-11-03,DIA,,,4.0,,0.6,342.0,1.7,call,7,0.4,AMBIGUOUS,,,,
option,2023-11-24,RIVN,,,4.0,,0.6,15.0,1.9,call,21,-8.7,TARGET_REACHABLE,,,,
option,2023-12-04,SPY,,,,,,457.0,0.59,call,1,0.1,PROFIT_LIKELY,,,,
option,2023-12-05,QQQ,,,,,,388.0,0.76,call,1,0.2,PROFIT_LIKELY,,,,
option,2023-12-06,TQQQ,,,2.0,,,43.0,0.9,call,2,102.3,EXPIRED_WORTHLESS,,,,
option,2023-12-07,SPY,,,,,,460.0,0.65,call,1,0.4,AMBIGUOUS,,,,
option,2023-12-08,BA,,,11.0,,1.6,240.0,4.9,call,7,-1.9,TARGET_REACHABLE,,,,
option,2023-12-14,CHPT,,,,,,3.0,0.22,call,15,-94.8,PROFIT_LIKELY,,,,
option,2023-12-15,SYM,,,,,,55.0,4.5,call,35,2.9,EXPIRED_WORTHLESS,,,,
option,2023-12-19,MLI,,,,,,45.0,2.3,call,31,92.7,EXPIRED_WORTHLESS,,,,
option,2023-12-19,GOTU,,,,,,4.0,0.5,call,31,1.3,EXPIRED_WORTHLESS,,,,
option,2023-12-20,CVS,,,,,,78.0,1.08,call,9,1.0,AMBIGUOUS,,,,
option,2023-12-21,IWM,,,,,,202.0,0.45,call,1,1.2,LIKELY_LOSS,,,,
option,2023-12-22,GNE,,,,,,30.0,1.4,call,28,1.7,EXPIRED_WORTHLESS,,,,
option,2023-12-26,FDX,,,,,,260.0,1.55,call,10,28.0,EXPIRED_WORTHLESS,,,,
option,2023-12-26,BIRK,,,,,,47.5,1.75,call,10,-3.1,PROFIT_LIKELY,,,,
option,2023-12-27,DIA,,,,,,378.0,0.63,call,2,0.4,EXPIRED_WORTHLESS,,,,
option,2023-12-27,IWM,,,,,,205.0,0.18,call,,,UNVERIFIABLE,,,,
option,2023-12-28,ALK,,,,,,40.0,1.3,call,22,0.2,EXPIRED_WORTHLESS,,,,
option,2023-12-28,AAL,,,,,,14.0,0.5,call,15,0.1,LIKELY_LOSS,,,,
option,2023-12-29,SPY,,,,,,478.0,0.4,call,4,0.6,EXPIRED_WORTHLESS,,,,
option,2024-01-02,DIA,,,,,,379.0,0.9,call,3,0.5,EXPIRED_WORTHLESS,,,,
option,2024-01-02,VZ,,,,,,39.0,0.38,call,10,0.3,PROFIT_LIKELY,,,,
option,2024-01-02,UP,,,,,,2.5,1.6,call,,,UNVERIFIABLE,,,,
option,2024-01-02,AMC,,,,,,6.0,0.5,call,17,-1.8,EXPIRED_WORTHLESS,,,,
option,2024-01-03,DIA,,,2.0,,0.7,376.0,1.1,call,2,0.5,LIKELY_LOSS,,,,
option,2024-01-04,PLTR,,,,,,16.5,0.65,call,15,1.5,AMBIGUOUS,,,,
option,2024-01-08,JBL,,,,,,130.0,1.7,call,11,1.2,EXPIRED_WORTHLESS,,,,
option,2024-01-09,TSLA,,,6.0,,2.9,235.0,3.9,call,3,0.0,LIKELY_LOSS,,,,
option,2024-01-09,UCO,,,4.0,,0.6,26.0,1.7,call,17,-1.0,TARGET_REACHABLE,,,,
option,2024-01-10,TQQQ,,,1.2,,0.4,49.5,0.78,call,2,97.8,EXPIRED_WORTHLESS,,,,
option,2024-01-11,QQQ,,,2.0,,0.6,405.0,1.15,call,0,-1.1,TARGET_REACHABLE,,,,
option,2024-01-12,DIA,,,3.0,,0.8,376.0,1.67,call,7,0.0,TARGET_REACHABLE,,,,
option,2024-01-19,QQQ,,,2.0,,0.3,416.0,1.02,call,,,UNVERIFIABLE,,,,
option,2024-01-23,DIA,,,4.0,,0.9,378.0,1.86,call,3,-0.3,TARGET_REACHABLE,,,,
option,2024-01-25,IWM,,,2.0,,0.3,196.0,0.9,call,1,0.0,PROFIT_LIKELY,,,,
option,2024-01-29,IWM,,,1.0,,,197.0,0.36,call,,,UNVERIFIABLE,,,,
option,2024-02-01,TQQQ,,,1.8,,0.3,53.5,0.8,call,1,96.3,EXPIRED_WORTHLESS,,,,
option,2024-02-02,DIA,,,4.0,,0.5,386.0,1.8,call,7,-0.1,AMBIGUOUS,,,,
option,2024-02-06,IWM,,,1.2,,,195.0,0.55,call,1,0.7,EXPIRED_WORTHLESS,,,,
option,2024-02-13,QQQ,,,4.0,,0.6,430.0,2.1,call,1,0.3,AMBIGUOUS,,,,
option,2024-02-13,IWM,,,2.0,,0.4,197.0,1.2,call,1,1.2,TARGET_REACHABLE,,,,
option,2024-02-15,SPY,,,2.0,,,502.0,0.8,call,1,-0.0,LIKELY_LOSS,,,,
option,2024-02-20,QQQ,,,4.0,,0.7,428.0,2.0,call,1,0.2,LIKELY_LOSS,,,,
option,2024-05-13,DIA,,,,,,398.0,0.95,call,4,0.9,PROFIT_LIKELY,,,,
option,2024-05-17,PSX,,,,,,150.0,3.5,call,42,2.0,EXPIRED_WORTHLESS,,,,
option,2024-05-28,SPY,,,,,,530.0,1.15,call,1,0.0,EXPIRED_WORTHLESS,,,,
option,2024-06-27,SPY,,,2.0,,,548.0,0.74,call,1,0.3,TARGET_REACHABLE,,,,
option,2024-07-03,IWM,,,,,,204.0,0.4,call,5,1.1,EXPIRED_WORTHLESS,,,,
option,2024-07-16,AAL,,,,,,11.0,0.85,call,66,-1.7,AMBIGUOUS,,,,
option,2024-07-17,QSR,,,,,,77.5,1.4,call,30,3.4,EXPIRED_WORTHLESS,,,,
option,2024-07-22,UNG,,,,,,15.0,1.15,call,39,-0.1,EXPIRED_WORTHLESS,,,,
option,2024-10-14,PAYX,,,,,,150.0,0.5,call,,,UNVERIFIABLE,,,,
option,2024-10-14,ETN,,,,,,390.0,1.3,call,32,12.8,EXPIRED_WORTHLESS,,,,
option,2024-10-15,DIA,,,3.0,,0.5,430.0,1.6,call,,,UNVERIFIABLE,,,,
option,2024-10-15,WMT,,,,,,85.0,1.5,call,45,4.1,PROFIT_LIKELY,,,,
option,2024-10-15,UNG,,,1.0,,0.2,14.0,0.44,call,3,-0.1,EXPIRED_WORTHLESS,,,,
option,2024-10-16,HON,,,,,,235.0,0.9,call,44,8.6,PROFIT_LIKELY,,,,
option,2024-10-16,SMCI,,,3.0,,0.5,50.5,1.3,call,2,3.6,EXPIRED_WORTHLESS,,,,
option,2024-10-17,WFC,,,,,,70.0,0.5,call,43,8.7,PROFIT_LIKELY,,,,
option,2024-10-18,DIA,,,2.5,,,436.0,0.95,call,7,0.8,EXPIRED_WORTHLESS,,,,
option,2024-11-08,TRV,,,,,,270.0,2.0,call,42,5.1,EXPIRED_WORTHLESS,,,,
option,2024-11-08,GE,,,,,,190.0,1.9,call,21,2.8,EXPIRED_WORTHLESS,,,,
option,2024-11-11,SCHW,,,,,,82.0,0.5,call,18,5.3,PROFIT_LIKELY,,,,
option,2024-11-12,MNST,,,,,,58.0,0.6,call,17,3.5,EXPIRED_WORTHLESS,,,,
option,2024-11-13,GS,,,,,,650.0,1.65,call,23,9.4,EXPIRED_WORTHLESS,,,,
option,2024-11-13,WBD,,,,,,9.5,0.56,call,23,-2.3,PROFIT_LIKELY,,,,
option,2024-11-21,IBM,,,,,,227.5,1.9,call,29,2.3,PROFIT_LIKELY,,,,
option,2024-11-22,MRNA,,,2.0,,,44.0,0.6,call,7,7.0,TARGET_REACHABLE,,,,
option,2024-11-25,ABBV,,,,,,187.5,1.25,call,25,5.9,EXPIRED_WORTHLESS,,,,
option,2024-11-26,MSFT,,,4.0,,,432.5,1.95,call,10,1.1,TARGET_REACHABLE,,,,
option,2024-11-26,AMZN,,,2.5,,,215.0,1.18,call,10,3.4,TARGET_REACHABLE,,,,
option,2024-11-27,JNJ,,,,,,155.0,2.05,call,9,-0.3,EXPIRED_WORTHLESS,,,,
option,2024-11-29,SIRI,,,,,,28.0,0.6,call,14,3.9,LIKELY_LOSS,,,,
option,2024-12-04,ZM,,,1.0,,,89.0,0.3,call,9,6.4,EXPIRED_WORTHLESS,,,,
option,2024-12-05,UNG,,,2.0,,,14.0,0.6,call,22,5.1,TARGET_REACHABLE,,,,
option,2024-12-06,NKE,,,4.0,,,88.0,1.0,call,14,11.5,EXPIRED_WORTHLESS,,,,
option,2024-12-06,WMT,,,,,,98.0,0.29,call,7,2.4,EXPIRED_WORTHLESS,,,,
option,2024-12-06,HOOD,,,2.0,,,48.0,0.55,call,14,15.2,EXPIRED_WORTHLESS,,,,
option,2024-12-11,CTAS,,,,,,235.0,1.5,call,37,11.4,EXPIRED_WORTHLESS,,,,
option,2024-12-11,CAG,,,1.0,,,29.0,0.35,call,16,4.6,EXPIRED_WORTHLESS,,,,
option,2024-12-13,COST,,,80.0,,,1100.0,20.0,call,,,UNVERIFIABLE,,,,
option,2024-12-16,GOOGL,,,,,,200.0,1.85,call,11,1.7,EXPIRED_WORTHLESS,,,,
option,2024-12-17,CTSH,,,,,,87.5,0.3,call,,,UNVERIFIABLE,,,,
option,2024-12-17,AMD,,,,,,130.0,1.9,call,10,4.0,EXPIRED_WORTHLESS,,,,
option,2024-12-18,BA,,,,,,180.0,2.0,call,9,4.3,AMBIGUOUS,,,,
option,2024-12-20,GOOGL,,,,,,197.5,0.85,call,7,3.2,EXPIRED_WORTHLESS,,,,
option,2024-12-24,BRK.B,,,,,,480.0,2.15,call,,,UNVERIFIABLE,,,,
option,2024-12-26,ABNB,,,,,,140.0,1.6,call,15,3.5,EXPIRED_WORTHLESS,,,,
option,2025-01-06,FUBO,,,,,,4.0,0.9,call,25,-93.4,PROFIT_LIKELY,,,,
